,State_code,state,Trump_votes,Trump_percent,Biden_votes,Biden_percent
0,AL,Alabama,1441170,62.2,849624,36.7
1,AK,Alaska,189543,53.1,153502,43
2,AZ,Arizona,1661686,49.1,1672143,49.4
3,AR,Arkansas,760647,62.4,423932,34.8
4,CA,California,5982194,34.3,11082293,63.5
5,CO,Colorado,1364471,41.9,1804196,55.4
6,CT,Connecticut,715291,39.2,1080680,59.3
7,DE,Delaware,200603,39.8,296268,58.8
8,DC,Washington DC,18586,5.4,317323,93
9,FL,Florida,5668731,51.2,5297045,47.9
10,GA,Georgia,2461837,49.3,2474507,49.5
11,HI,Hawaii,196602,34.3,365802,63.7
12,ID,Idaho,554128,63.9,287031,33.1
13,IL,Illinois,2438943,40.5,3463260,57.6
14,IN,Indiana,1729516,57.1,1242413,41
15,IA,Iowa,897672,53.2,759061,45
16,KS,Kansas,752933,56.5,551144,41.3
17,KY,Kentucky,1326646,62.1,772474,36.2
18,LA,Louisiana,1255776,58.5,856034,39.9
19,ME,Maine,360480,44,434966,53.1
20,MD,Maryland,976414,32.4,1985023,65.8
21,MA,Massachusetts,1167202,32.3,2382202,65.9
22,MI,Michigan,2649852,47.8,2804040,50.6
23,MN,Minnesota,1484065,45.4,1717077,52.6
24,MS,Mississippi,756789,57.6,539508,41.1
25,MO,Missouri,1718282,56.8,1252902,41.4
26,MT,Montana,343647,56.9,244836,40.6
27,NE,Nebraska,556846,58.5,374583,39.4
28,NV,Nevada,669890,47.7,703486,50.1
29,NH,New Hampshire,365660,45.5,424935,52.9
30,NJ,New Jersey,1883260,41.4,2608327,57.3
31,NM,New Mexico,401894,43.5,501614,54.3
32,NY,New York,3039466,41.1,4248123,57.5
33,NC,North Carolina,2758775,50.1,2684292,48.7
34,ND,North Dakota,235595,65.5,114902,31.9
35,OH,Ohio,3154834,53.3,2679165,45.3
36,OK,Oklahoma,1020280,65.4,503890,32.3
37,OR,Oregon,958448,40.7,1340383,56.9
38,PA,Pennsylvania,3378263,48.8,3459923,50
39,RI,Rhode Island,199922,38.8,307486,59.7
40,SC,South Carolina,1385103,55.1,1091541,43.4
41,SD,South Dakota,261043,61.8,150471,35.6
42,TN,Tennessee,1849556,60.7,1139332,37.4
43,TX,Texas,5890347,52.1,5259126,46.5
44,UT,Utah,865140,58.2,560282,37.7
45,VT,Vermont,112704,30.8,242820,66.4
46,VA,Virginia,1962430,44.2,2413568,54.4
47,WA,Washington,1584651,39,2369612,58.4
48,WV,West Virginia,545382,68.6,235984,29.7
49,WI,Wisconsin,1610184,48.9,1630866,49.6
50,WY,Wyoming,193559,70.4,73491,26.7
