,State_code,state,Trump_votes,Trump_percent,Biden_votes,Biden_percent,Median Household Income,All-age Poverty Rate,Percentage of Hispanic or Latino,Percentage of White,Percentage of Black or African American,Percentage of American Indian and Alaska Native,Percentage of Asian,Percentage of Native Hawaiian and Other Pacific Islander,Percentage of Some Other Race,Percentage of Population of Two or More Race,2020 pop.
0,AL,Alabama,1441170,62.2,849624,36.7,53958,14.9,4.3,65.5,24.9,0.5,1.5,0.0,0.2,3.1,5024279
1,AK,Alaska,189543,53.1,153502,43.0,79961,9.6,6.0,61.5,3.0,13.5,6.2,1.5,0.6,7.7,733391
2,AZ,Arizona,1661686,49.1,1672143,49.4,64652,12.8,26.9,58.1,4.3,3.4,3.6,0.2,0.4,3.1,7151502
3,AR,Arkansas,760647,62.4,423932,34.8,51146,15.2,7.0,71.5,14.3,0.7,1.7,0.4,0.2,4.2,3011524
4,CA,California,5982194,34.3,11082293,63.5,83001,11.5,36.0,37.9,5.5,0.4,15.9,0.4,0.5,3.5,39538223
5,CO,Colorado,1364471,41.9,1804196,55.4,77688,9.0,19.2,68.6,3.7,0.6,3.5,0.1,0.5,3.8,5773714
6,CT,Connecticut,715291,39.2,1080680,59.3,79723,9.7,15.0,66.7,9.7,0.2,4.6,0.0,0.7,3.1,3605944
7,DE,Delaware,200603,39.8,296268,58.8,71335,10.9,8.7,62.4,20.6,0.3,4.2,0.0,0.4,3.4,989948
8,DC,Washington DC,18586,5.4,317323,93.0,91957,15.0,10.5,40.8,38.9,0.2,5.4,0.1,0.5,3.7,689545
9,FL,Florida,5668731,51.2,5297045,47.9,61724,12.4,25.0,54.7,13.5,0.2,2.9,0.1,0.6,3.1,21538187
10,GA,Georgia,2461837,49.3,2474507,49.5,62800,14.0,9.0,52.8,30.0,0.2,4.5,0.1,0.5,3.0,10711908
11,HI,Hawaii,196602,34.3,365802,63.7,86878,8.9,8.1,23.8,1.6,0.2,39.6,9.1,0.4,17.3,1455271
12,ID,Idaho,554128,63.9,287031,33.1,62603,10.1,11.0,81.5,0.7,1.0,1.5,0.2,0.4,3.6,1839106
13,IL,Illinois,2438943,40.5,3463260,57.6,71243,11.0,16.2,61.2,13.6,0.1,6.0,0.0,0.3,2.6,12812508
14,IN,Indiana,1729516,57.1,1242413,41.0,60794,11.6,6.8,78.3,8.9,0.2,2.4,0.0,0.3,3.1,6785528
15,IA,Iowa,897672,53.2,759061,45.0,62362,10.2,5.5,85.5,3.5,0.3,2.3,0.1,0.2,2.6,3190369
16,KS,Kansas,752933,56.5,551144,41.3,63214,10.6,10.8,75.5,5.5,0.8,3.0,0.1,0.3,4.0,2937880
17,KY,Kentucky,1326646,62.1,772474,36.2,54074,14.9,3.8,83.4,7.6,0.2,1.6,0.1,0.3,3.1,4505836
18,LA,Louisiana,1255776,58.5,856034,39.9,51730,17.8,6.3,58.3,29.9,0.5,1.9,0.0,0.3,2.7,4657757
19,ME,Maine,360480,44.0,434966,53.1,59145,10.6,1.6,91.7,1.5,0.5,1.2,0.0,0.3,3.2,1362359
20,MD,Maryland,976414,32.4,1985023,65.8,88589,9.0,10.2,49.9,28.8,0.2,6.9,0.0,0.5,3.4,6177224
21,MA,Massachusetts,1167202,32.3,2382202,65.9,87288,9.4,11.0,70.4,6.2,0.1,7.2,0.0,1.2,3.8,7029917
22,MI,Michigan,2649852,47.8,2804040,50.6,61352,12.6,4.6,74.9,12.9,0.5,3.3,0.0,0.3,3.5,10077331
23,MN,Minnesota,1484065,45.4,1717077,52.6,75489,8.3,5.0,80.0,5.9,0.9,4.9,0.0,0.3,3.0,5706494
24,MS,Mississippi,756789,57.6,539508,41.1,47368,18.7,3.0,57.8,35.1,0.4,1.1,0.0,0.2,2.3,2961279
25,MO,Missouri,1718282,56.8,1252902,41.4,58812,12.1,4.1,78.0,10.8,0.4,2.2,0.1,0.3,4.1,6154913
26,MT,Montana,343647,56.9,244836,40.6,57730,12.4,3.5,85.6,0.4,5.0,0.8,0.1,0.4,4.2,1084225
